id,palavra,traducao,pronuncia
107,alternative,alternativo,""
108,although,embora,""
109,always,sempre,""
110,AM,AM,""
111,amazing,"fantástico",""
112,American,americano,""
113,among,entre,""
114,amount,montante,""
115,analysis,"análise",""
116,analyst,analista,""
117,analyze,analisar,""
118,ancient,antigo,""
119,and,e,""
120,anger,remorso,""
121,angle,"ângulo",""
122,angry,zangado,""
123,animal,animal,""
124,anniversary,"aniversário",""
125,announce,anunciar,""
126,annual,anual,""
127,another,outro,""
128,answer,resposta,""
129,anticipate,antecipar,""
130,anxiety,ansiedade,""
131,any,qualquer,""
132,anybody,"qualquer pessoa",""
133,anymore,mais,""
134,anyone,"qualquer um",""
135,anything,"qualquer coisa",""
136,anyway,"de qualquer forma",""
137,anywhere,"em qualquer lugar",""
138,apart,"à parte",""
139,apartment,apartamento,""
140,apparent,aparente,""
141,apparently,aparentemente,""
142,appeal,recurso,""
143,appear,aparecer,""
144,appearance,"aparência",""
145,apple,"maçã",""
146,application,"aplicação",""
147,apply,aplicar,""
148,appoint,nomear,""
149,appointment,"nomeação",""
150,appreciate,apreciar,""
151,approach,abordagem,""
152,appropriate,adequado,""
153,approval,"aprovação",""
154,approve,aprovar,""
155,approximately,aproximadamente,""
156,Arab,"Árabe",""
157,architect,arquiteto,""
158,area,"área",""
159,argue,argumentar,""
160,argument,argumento,""
161,arise,"ir para",""
162,arm,"braço",""
163,armed,armado,""
164,army,"exército",""
165,around,"em torno de",""
166,arrange,organizar,""
167,arrangement,acordo,""
168,arrest,"detenção",""
169,arrival,chegada,""
170,arrive,chegar,""
171,art,arte,""
172,article,artigo,""
173,artist,artista,""
174,artistic,"artístico",""
175,as,como,""
176,Asian,"Asiático",""
177,aside,"à parte",""
178,ask,perguntar,""
179,asleep,adormecido,""
180,aspect,aspeto,""
181,assault,assalto,""
182,assert,afirmar,""
183,assess,avaliar,""
184,assessment,"avaliação",""
185,asset,ativo,""
186,assign,atribuir,""
187,assignment,"atribuição",""
188,assist,"assistência",""
189,assistance,"assistência",""
190,assistant,assistente,""
191,associate,associado,""
192,association,"associação",""
193,assume,assumir,""
194,assumption,pressuposto,""
195,assure,assegurar,""
196,at,em,""
197,athlete,atleta,""
198,athletic,"atlético",""
199,atmosphere,atmosfera,""
200,attach,anexar,""
201,attack,ataque,""
202,attempt,tentativa,""
203,attend,assistir,""
204,attention,"atenção",""
205,attitude,atitude,""
206,attorney,advogado,""
207,attract,atrair,""
208,attractive,atrativo,""
209,attribute,atributo,""
210,audience,"público",""
211,author,autor,""
212,authority,autoridade,""
213,auto,"automóvel",""
214,available,"disponível",""
215,average,"média",""
216,avoid,evitar,""
217,award,"prémio",""
218,aware,consciente,""
219,awareness,"sensibilização",""
220,away,longe,""
221,awful,"horrível",""
222,baby,"bebé",""
223,back,voltar,""
224,background,fundo,""
225,bad,mau,""
226,badly,mal,""
227,bag,saco,""
228,bake,assar,""
229,balance,"equilíbrio",""
230,ball,bola,""
231,ban,"proibição","/bæn/"
232,band,banda,"/bænd/"
233,bank,banco,"/bæŋk/"
234,bar,bar,""
235,barely,mal,"/ˈbɛə(ɹ).li/"
236,barrel,barril,""
237,barrier,barreira,"/ˈbæɹi.ə(ɹ)/"
238,base,base,""
239,baseball,basebol,""
240,basic,"básico","/ˈbeɪsɪk/"
241,basically,basicamente,"/ˈbeɪsɪk(ə)li/"
242,basis,base,"/ˈbeɪsɪs/"
243,basket,cesto,"/ˈbaːskət/"
244,basketball,basquetebol,"/ˈbɑːs.kɪt.bɔːl/"
245,bathroom,"casa de banho","/ˈbæθ.ɹuːm/"
246,battery,bateria,"/ˈbætəɹi/"
247,battle,batalha,"/ˈbætəl/"
248,be,ser,""
249,beach,praia,"/biːt͡ʃ/"
250,bean,"feijão","/biːn/"
251,bear,urso,"/bɛə(ɹ)/"
252,beat,bater,"/biːt/"
253,beautiful,bonito,"/ˈbjuːtɪfəl/"
254,beauty,beleza,"/ˈbuːti/"
255,because,porque,""
256,become,tornar-se,"/bəˈkʊm/"
257,bed,cama,""
258,bedroom,quarto,""
259,beer,urso,""
260,before,"antes de","/bɪˈfɔː/"
261,begin,"começar",""
262,beginning,"início",""
263,behavior,comportamento,""
264,behind,"atrás",""
265,being,ser,""
266,belief,"crença",""
267,believe,acreditar,""
268,bell,sino,""
269,belong,pertencer,""
270,below,abaixo,""
271,belt,cinto,""
272,bench,banco,""
273,bend,dobrar,""
274,beneath,abaixo,""
275,benefit,"benefício",""
276,beside,"ao lado",""
277,besides,"além disso",""
278,best,melhor,""
279,bet,aposta,""
280,better,melhor,""
281,between,entre,""
282,beyond,"além",""
283,Bible,"Bíblia",""
284,big,grande,""
285,bike,bicicleta,""
286,bill,fatura,""
287,billion,"mil milhões",""
288,bind,vincular,""
289,biological,"biológico",""
290,bird,ave,""
291,birth,nascimento,""
292,birthday,"aniversário",""
293,bit,bit,""
294,bite,mordida,""
295,black,preto,""
296,blade,folha,""
297,blame,culpa,""
298,blanket,forma,""
299,blind,cego,""
300,block,bloco,""
301,blood,sangue,""
302,blow,sopro,""
303,blue,azul,""
304,board,conselho,""
305,boat,barco,""
306,body,corpo,""
307,bomb,bomba,""
308,bombing,bombardeamento,""
309,bond,"vínculo",""
310,bone,osso,""
311,book,livro,""
312,boom,estrondo,""
313,boot,bota,""
314,border,fronteira,""
315,born,nascido,""
316,borrow,emprestar,""
317,boss,chefe,""
318,both,ambos,""
319,bother,"incómodo",""
320,bottle,garrafa,""
321,bottom,fundo,""
322,boundary,limite,""
323,bowl,tigela,""
324,box,caixa,""
325,boy,rapaz,""
326,boyfriend,namorado,""
327,brain,"cérebro",""
328,branch,ramo,""
329,brand,brand,""
330,bread,"pão",""
331,break,pausa,""
332,breakfast,"pequeno-almoço",""
333,breast,peito,""
334,breath,"respiração",""
335,breathe,respirar,""
336,brick,tijolo,""
337,bridge,ponte,""
338,brief,breve,""
339,briefly,brevemente,""
340,bright,brilhante,""
341,brilliant,brilhante,""
342,bring,trazer,""
343,British,"Britânico",""
344,broad,amplo,""
345,broken,quebrado,""
346,brother,"irmão",""
347,brown,castanho,""
348,brush,escova,""
349,buck,dobrar,""
350,budget,"orçamento",""
351,build,construir,""
352,building,"edifício",""
353,bullet,bala,""
354,bunch,grupo,""
355,burden,Fardo,""
356,burn,queimar,""
357,bury,enterrar,""
358,bus,autocarro,""
359,business,comercial,""
360,busy,ocupado,""
361,but,mas,""
362,butter,manteiga,""
363,button,"botão",""
364,buy,comprar,""
365,buyer,comprador,""
366,by,por,""
367,cabin,cabina,""
368,cabinet,"armário",""
369,cable,cabo,""
370,cake,bolo,""
371,calculate,calcular,""
372,call,chamada,""
373,camera,"câmara",""
374,camp,acampamento,""
375,campaign,campanha,""
376,campus,campus,""
377,can,pode,""
378,Canadian,Canadiano,""
379,cancer,cancro,""
380,candidate,candidato,""
381,cap,tampa,""
382,capability,capacidade,""
383,capable,capaz,""
384,capacity,capacidade,""
385,capital,capital,""
386,captain,"capitão",""
387,capture,captura,""
388,car,"automóvel",""
389,carbon,carbono,""
390,card,"cartão",""
391,care,cuidados,""
392,career,carreira,""
393,careful,cuidadoso,""
394,carefully,cuidadosamente,""
395,carrier,transportadora,""
396,carry,transportar,""
397,case,caso,""
398,cash,dinheiro,""
399,cast,elenco,""
400,cat,gato,""
401,catch,captura,""
402,category,categoria,""
403,Catholic,"Católico",""
404,cause,causa,""
405,ceiling,teto,""
406,celebrate,celebrar,""
407,celebration,"celebração",""
408,celebrity,celebridade,""
409,cell,"célula",""
410,center,centro,""
411,central,central,""
412,century,"século",""
413,CEO,"DIRECTOR EXECUTIVO",""
414,ceremony,"cerimónia",""
415,certain,certo,""
416,certainly,certamente,""
417,chain,cadeia,""
418,chair,cadeira,""
419,chairman,presidente,""
420,challenge,desafio,""
421,chamber,"câmara",""
422,champion,"campeão",""
423,championship,campeonato,""
424,chance,oportunidade,""
425,change,"mudança",""
426,changing,"mutável",""
427,channel,canal,""
428,chapter,"capítulo",""
429,character,"carácter",""
430,characteristic,"caraterística",""
431,characterize,caraterizar,""
432,charge,carga,""
433,charity,caridade,""
434,chart,"gráfico",""
435,chase,"perseguição",""
436,cheap,barato,""
437,check,controlo,""
438,cheek,bochecha,""
439,cheese,queijo,""
440,chef,cozinheiro,""
441,chemical,"química",""
442,chest,peito,""
443,chicken,galinha,""
444,chief,chefe,""
445,child,"criança",""
446,childhood,"infância",""
447,Chinese,"Chinês",""
448,chip,chip,""
449,chocolate,chocolate,""
450,choice,escolha,""
451,cholesterol,colesterol,"/kəˈlɛstəɹɒl/"
452,choose,escolher,"/t͡ʃuːz/"
453,Christian,"cristão",""
454,Christmas,Natal,""
455,church,igreja,"/t͡ʃɜːt͡ʃ/"
456,cigarette,cigarro,"/sɪ.ɡəˈɹɛt/"
457,circle,"círculo","/ˈsɜɹkəl/"
458,circumstance,"circunstância","/-æns/"
459,cite,citar,"/saɪt/"
460,citizen,"cidadão","/ˈsɪtɪzən/"
461,city,cidade,"/sɪtɪ/"
462,civil,civil,"/ˈsɪv.əl/"
463,civilian,civil,"/sɪˈvɪljən/"
464,claim,"reclamação","/kleɪm/"
465,class,classe,""
466,classic,"clássico","/ˈklæ.sɪk/"
467,classroom,"sala de aula","/ˈklɑːsɹʊm/"
468,clean,limpo,""
469,clear,claro,"/klɪə(ɹ)/"
470,clearly,claramente,"/ˈkliːɹli/"
471,client,cliente,""
472,climate,clima,""
473,climb,subir,""
474,clinic,"clínica",""
475,clinical,"clínico",""
476,clock,"relógio",""
477,close,fechar,""
478,closely,"de perto",""
479,closer,"mais próximo",""
480,clothes,roupas,""
481,clothing,"vestuário",""
482,cloud,nuvem,""
483,club,clube,""
484,clue,clue,""
485,cluster,agrupamento,""
486,coach,treinador,""
487,coal,"carvão",""
488,coalition,"coligação",""
489,coast,costa,""
490,coat,casaco,""
491,code,"código",""
492,coffee,"café",""
493,cognitive,cognitivo,""
494,cold,frio,""
495,collapse,colapso,""
496,colleague,colega,""
497,collect,recolher,""
498,collection,"coleção",""
499,collective,coletivo,""
500,college,faculdade,""
501,colonial,colonial,""
502,color,cor,""
503,column,coluna,""
504,combination,"combinação",""
505,combine,combinar,""
506,come,vir,""
507,comedy,"comédia",""
508,comfort,conforto,""
509,comfortable,"confortável",""
510,command,comando,""
511,commander,comandante,""
512,comment,como,""
513,commercial,comercial,""
514,commission,"comissão",""
515,commit,comprometer-se,""
516,commitment,compromisso,""
517,committee,"comité",""
518,common,comum,""
519,communicate,comunicar,""
520,communication,"comunicação",""
521,community,comunidade,""
522,company,empresa,""
523,compare,comparar,""
524,comparison,"comparação",""
525,compete,competir,""
526,competition,"concorrência",""
527,competitive,competitivo,""
528,competitor,concorrente,""
529,complain,queixar-se,""
530,complaint,"reclamação",""
531,complete,completo,""
532,completely,completamente,""
533,complex,complexo,""
534,complicated,complicado,""
535,component,componente,""
536,compose,compor,""
537,composition,"composição",""
538,comprehensive,abrangente,""
539,computer,computador,""
540,concentrate,concentrate,""
541,concentration,"concentração",""
542,concept,conceito,""
543,concern,"preocupação",""
544,concerned,"em causa",""
545,concert,concerto,""
546,conclude,concluir,""
547,conclusion,"conclusão",""
548,concrete,concreto,""
549,condition,"condição",""
550,conduct,conduta,""
551,conference,"conferência",""
552,confidence,"confiança",""
553,confident,confiante,""
554,confirm,confirmar,""
555,conflict,conflito,""
556,confront,confrontar,""
557,confusion,"confusão",""
558,Congress,Congresso,""
559,congressional,congressista,""
560,connect,ligar,""
561,connection,"ligação",""
562,consciousness,"consciência",""
563,consensus,consenso,""
564,consequence,"consequência",""
565,conservative,conservador,""
566,consider,considerar,""
567,considerable,"considerável",""
568,consideration,"consideração",""
569,consist,consistir,""
570,consistent,coerente,""
571,constant,constante,""
572,constantly,constantemente,""
573,constitute,constituir,""
574,constitutional,constitucional,""
575,construct,construir,""
576,construction,"construção",""
577,consultant,consultant,""
578,consume,consumir,""
579,consumer,consumidor,""
580,consumption,consumo,""
581,contact,contacto,""
582,contain,conter,""
583,container,contentor,""
584,contemporary,"contemporâneo",""
585,content,"conteúdo",""
586,contest,contest,""
587,context,contexto,""
588,continue,continuar,""
589,continued,continuado,""
590,contract,contrato,""
591,contrast,contraste,""
592,contribute,contribuir,""
593,contribution,"contribuição",""
594,control,controlo,""
595,controversial,"polémico",""
596,controversy,"polémica",""
597,convention,"convenção",""
598,conventional,convencional,""
599,conversation,conversa,""
600,convert,converter,""
601,conviction,"condenação",""
602,convince,convencer,""
603,cook,cozinheiro,""
604,cookie,biscoito,""
605,cooking,"culinária",""
606,cool,fixe,""
607,cooperation,"cooperação",""
608,cop,"polícia",""
609,cope,lidar,""
610,copy,"cópia",""
611,core,"núcleo",""
612,corn,milho,""
613,corner,canto,""
614,corporate,empresarial,""
615,corporation,empresa,""
616,correct,correto,""
617,correspondent,correspondent,""
618,cost,custo,""
619,cotton,"algodão",""
620,couch,"sofá",""
621,could,poderia,""
622,council,conselho,""
623,counselor,conselheiro,""
624,count,contagem,""
625,counter,contador,""
626,country,"país",""
627,county,concelho,""
628,couple,casal,""
629,courage,coragem,""
630,course,corrida,""
631,court,tribunal,""
632,cousin,primo,""
633,cover,cobertura,""
634,coverage,cobertura,""
635,cow,vaca,""
636,crack,fenda,""
637,craft,artesanato,""
638,crash,"colisão",""
639,crazy,louco,""
640,cream,creme,""
641,create,criar,""
642,creation,"criação",""
643,creative,criativo,""
644,creature,criatura,""
645,credit,"crédito",""
646,crew,"tripulação",""
647,crime,crime,""
648,criminal,criminoso,""
649,crisis,crise,""
650,criteria,"critérios",""
651,critic,"crítica",""
652,critical,"crítico",""
653,criticism,"críticas",""
654,criticize,criticar,""
655,crop,colheita,""
656,cross,cruz,""
657,crowd,"multidão",""
658,crucial,crucial,""
659,cry,chorar,""
660,cultural,cultural,""
661,culture,cultura,""
662,cup,"chávena",""
663,curious,curioso,""
664,current,atual,""
665,currently,atualmente,""
666,curriculum,"currículo",""
667,custom,personalizado,""
668,customer,cliente,""
669,cut,cortar,""
670,cycle,ciclo,""
671,dad,pai,""
672,daily,"diário",""
673,damage,danos,""
674,dance,"dança",""
675,danger,perigo,""
676,dangerous,perigoso,""
677,dare,ousar,""
678,dark,escuro,""
679,darkness,"escuridão",""
680,data,dados,""
681,date,data,"/deɪt/"
682,daughter,filha,"/ˈdɑ.tɚ/"
683,day,dia,"/deɪ/"
684,dead,morto,"/diːd/"
685,deal,"negócio","/diːl/"
686,dealer,comerciante,"/ˈdiːlə(ɹ)/"
687,dear,querido,"/diːɹ/"
688,death,morte,"/diːθ/"
689,debate,debate,"/dɪˈbeɪt/"
690,debt,"dívida","/dɛt/"
691,decade,"década","/dəˈkeɪd/"
692,decide,decide,"/dɪˈsaɪd/"
693,decision,"decisão",""
694,deck,"convés","/dɛk/"
695,declare,declarar,""
696,decline,"declínio","/dɪˈklaɪn/"
697,decrease,diminuir,"pronunciation not found"
698,deep,profundo,"/diːp/"
699,deeply,profundamente,"/ˈdiːpli/"
700,deer,veado,"/diːɹ/"
701,defeat,derrota,""
702,defend,defender,""
703,defendant,arguido,""
704,defense,defesa,""
705,defensive,defensivo,""
706,deficit,"défice",""
707,define,definir,""
708,definitely,definitivamente,""
709,definition,"definição",""
710,degree,grau,""
711,delay,atraso,""
712,deliver,entrega,""
713,delivery,entrega,""
714,demand,pedido,""
715,democracy,democracia,""
716,Democrat,Democrata,""
717,democratic,"democrático",""
718,demonstrate,demonstrar,""
719,demonstration,"demonstração",""
720,deny,negar,""
721,department,departamento,""
722,depend,depender,""
723,dependent,dependente,""
724,depending,dependente,""
725,depict,representar,""
726,depression,"depressão",""
727,depth,profundidade,""
728,deputy,deputado,""
729,derive,derivar,""
730,describe,descrever,""
731,description,"descrição",""
732,desert,deserto,""
733,deserve,merecer,""
734,design,desenho,""
735,designer,designer,""
736,desire,desejo,""
737,desk,"secretária",""
738,desperate,desesperado,""
739,despite,"apesar de",""
740,destroy,destruir,""
741,destruction,"destruição",""
742,detail,pormenor,""
743,detailed,pormenorizado,""
744,detect,detetar,""
745,determine,"determinações",""
746,develop,desenvolver,""
747,developing,"em desenvolvimento",""
748,development,desenvolvimento,""
749,device,dispositivo,""
750,devote,dedicar,""
751,dialogue,"diálogo",""
752,die,morrer,""
753,diet,dieta,""
754,differ,diferir,""
755,difference,"diferença",""
756,different,diferente,""
757,differently,"de forma diferente",""
758,difficult,"difícil",""
759,difficulty,dificuldade,""
760,dig,"escavação",""
761,digital,digital,""
762,dimension,"dimensão",""
763,dining,jantar,""
764,dinner,jantar,""
765,direct,direto,""
766,direction,"direção",""
767,directly,diretamente,""
768,director,diretor,""
769,dirt,sujidade,""
770,dirty,sujo,""
771,disability,"deficiência",""
772,disagree,discordar,""
773,disappear,desaparecer,""
774,disaster,"catástrofe",""
775,discipline,disciplinas,""
776,discourse,discurso,""
777,discover,descobrir,""
778,discovery,descoberta,""
779,discrimination,"discriminação",""
780,discuss,discutir,""
781,discussion,"discussão",""
782,disease,"doença",""
783,dish,prato,""
784,dismiss,despedir,""
785,disorder,desordem,""
786,display,"ecrã",""
787,dispute,disputa,""
788,distance,"distância",""
789,distant,distante,""
790,distinct,distinto,""
791,distinction,"distinção",""
792,distinguish,distinguir,""
793,distribute,distribuir,""
794,distribution,"distribuição",""
795,district,distrito,""
796,diverse,diversos,""
797,diversity,diversidade,""
798,divide,dividir,""
799,division,"divisão",""
800,divorce,"divórcio",""
801,DNA,ADN,""
802,do,fazer,""
803,doctor,"médico",""
804,document,document,""
805,dog,"cão",""
806,domestic,nacional,""
807,dominant,dominante,""
808,dominate,dominar,""
809,door,por,""
810,double,duplo,""
811,doubt,"dúvida",""
812,down,"para baixo",""
813,downtown,"centro da cidade",""
814,dozen,"dúzia",""
815,draft,projeto,""
816,drag,arrastar,""
817,drama,drama,""
818,dramatic,"dramático",""
819,dramatically,dramaticamente,""
820,draw,sorteio,""
821,drawing,desenho,""
822,dream,sonho,""
823,dress,vestido,""
824,drink,bebida,""
825,drive,conduzir,""
826,driver,condutor,""
827,drop,queda,""
828,drug,droga,""
829,dry,seco,""
830,due,devido,""
831,during,durante,""
832,dust,"pó",""
833,duty,dever,""
834,each,cada,""
835,eager,ansioso,""
836,ear,orelha,""
837,early,precoce,""
838,earn,ganhar,""
839,earnings,rendimentos,""
840,earth,terra,""
841,ease,facilidade,""
842,easily,facilmente,""
843,east,leste,""
844,eastern,oriental,""
845,easy,"fácil",""
846,eat,comer,""
847,economic,"económico",""
848,economics,economia,""
849,economist,economista,""
850,economy,"económico",""
851,edge,borda,""
852,edition,"edição",""
853,editor,editor,""
854,educate,educar,""
855,education,"educação",""
856,educational,educativo,""
857,educator,educador,""
858,effect,efeito,""
859,effective,efetivo,""
860,effectively,efetivamente,""
861,efficiency,"eficiência","/ɪˈfɪʃn̩si/"
862,efficient,eficaz,""
863,effort,"esforço","/ˈɛfət/"
864,egg,ovo,"/eɪɡ/"
865,eight,oito,"/eɪt/"
866,either,ou,"/ˈaɪð.ə(ɹ)/"
867,elderly,idosos,""
868,elect,eleger,""
869,election,"eleição","/ɪˈlɛkʃ(ə)n/"
870,electric,"elétrico",""
871,electricity,eletricidade,"/ɪˌlɛkˈtɹɪsɪti/"
872,electronic,"eletrónica","/ɪˌlɛkˈtɹɒn.ɪk/"
873,element,elemento,"/ˈɛlɪmənt/"
874,elementary,elementar,"/(ˌ)ɛlɪ̈ˈmɛnt(ə)ɹɪ/"
875,eliminate,eliminar,"/ɪˈlɪməneɪt/"
876,elite,"de elite",""
877,else,"anulação","/ɛls/"
878,elsewhere,"noutro local","/ˌɛlsˈʍɛːə/"
879,e-mail,"correio eletrónico","/ˈiːmeɪl/"
880,embrace,"abraçar","/ɛmˈbɹeɪs/"
881,emerge,emergir,""
882,emergency,"emergência",""
883,emission,"emissão",""
884,emotion,"emoção",""
885,emotional,emocional,""
886,emphasis,"ênfase",""
887,emphasize,enfatizar,""
888,employ,empregar,""
889,employee,empregado,""
890,employer,empregador,""
891,employment,emprego,""
892,empty,vazio,""
893,enable,permitir,""
894,encounter,encontro,""
895,encourage,incentivar,""
896,end,fim,""
897,enemy,inimigo,""
898,energy,energia,""
899,enforcement,"aplicação",""
900,engage,compromissos,""
901,engine,motor,""
902,engineer,engenheiro,""
903,engineering,engenharia,""
904,English,"Inglês",""
905,enhance,melhorar,""
906,enjoy,desfrutar,""
907,enormous,enorme,""
908,enough,suficiente,""
909,ensure,assegurar,""
910,enter,entrar,""
911,enterprise,empresa,""
912,entertainment,entretenimento,""
913,entire,inteiro,""
914,entirely,inteiramente,""
915,entrance,entrada,""
916,entry,entrada,""
917,environment,ambiente,""
918,environmental,ambiental,""
919,episode,"episódio",""
920,equal,igual,""
921,equally,igualmente,""
922,equipment,equipamento,""
923,era,era,""
924,error,erro,""
925,escape,fuga,""
926,especially,especialmente,""
927,essay,ensaio,""
928,essential,essencial,""
929,essentially,essencialmente,""
930,establish,estabelecer,""
931,establishment,estabelecimento,""
932,estate,"património",""
933,estimate,estimativa,""
934,etc,etc,""
935,ethics,"ética",""
936,ethnic,"étnico",""
937,European,Europeu,""
938,evaluate,avaliar,""
939,evaluation,"avaliação",""
940,even,mesmo,""
941,evening,noite,""
942,event,evento,""
943,eventually,eventualmente,""
944,ever,sempre,""
945,every,todos,""
946,everybody,todos,""
947,everyday,quotidiano,""
948,everyone,todos,""
949,everything,tudo,""
950,everywhere,"em todo o lado",""
951,evidence,provas,""
952,evolution,"evolução",""
953,evolve,evoluir,""
954,exact,exato,""
955,exactly,exatamente,""
956,examination,exame,""
957,examine,examinar,""
958,example,exemplo,""
959,exceed,exceder,""
960,excellent,excelente,""
961,except,exceto,""
962,exception,"exceção",""
963,exchange,troca,""
964,exciting,excitante,""
965,executive,executivo,""
966,exercise,"exercício",""
967,exhibit,"exposição",""
968,exhibition,"exposição",""
969,exist,existir,""
970,existence,existence,""
971,existing,existente,""
972,expand,expandir,""
973,expansion,"expansão",""
974,expect,esperar,""
975,expectation,expetativa,""
976,expense,despesa,""
977,expensive,dispendioso,""
978,experience,"experiência",""
979,experiment,"experiência",""
980,expert,especialista,""
981,explain,explicar,""
982,explanation,"explicação",""
983,explode,explodir,""
984,explore,explore,""
985,explosion,"explosão",""
986,expose,expor,""
987,exposure,"exposição",""
988,express,expresso,""
989,expression,"expressão",""
990,extend,estender,""
991,extension,"extensão",""
992,extensive,alargado,""
993,extent,"extensão",""
994,external,externo,""
995,extra,extra,""
996,extraordinary,"extraordinário",""
997,extreme,extremo,""
998,extremely,extremamente,""
999,eye,olho,""
1000,fabric,tecido,""
1001,face,rosto,""
1002,facility,"instalações",""
1003,fact,facto,""
1004,factor,fator,""
1005,factory,"fábrica",""
1006,faculty,"corpo docente",""
1007,fade,"insípido",""
1008,fail,falhar,""
1009,failure,falha,""
1010,fair,justo,""
1011,fairly,"de forma justa",""
1012,faith,"fé",""
1013,fall,queda,""
1014,false,falso,""
1015,familiar,"família",""
1016,family,"família",""
1017,famous,famoso,""
1018,fan,"fã",""
1019,fantasy,fantasia,""
1020,far,longe,""
1021,farm,fazenda,""
1022,farmer,agricultor,""
1023,fashion,moda,""
1024,fast,"rápido",""
1025,fat,gordo,""
1026,fate,destino,""
1027,father,pai,""
1028,fault,falha,""
1029,favor,favor,""
1030,favorite,favorito,""
1031,fear,medo,""
1032,feature,"caraterística",""
1033,federal,federal,""
1034,fee,taxa,""
1035,feed,"alimentação",""
1036,feel,sentir,""
1037,feeling,sentimento,""
1038,fellow,companheiro,""
1039,female,feminino,""
1040,fence,"vedação",""
1041,few,poucos,""
1042,fewer,menos,""
1043,fiber,fibra,""
1044,fiction,"ficção",""
1045,field,"domínio",""
1046,fifteen,quinze,""
1047,fifth,quinto,""
1048,fifty,cinquenta,""
1049,fight,luta,""
1050,fighter,lutador,""
1051,fighting,luta,""
1052,figure,figura,""
1053,file,ficheiro,""
1054,fill,preenchimento,""
1055,film,filme,""
1056,final,final,""
1057,finally,finalmente,""
1058,finance,"finanças",""
1059,financial,financeiro,""
1060,find,encontrar,""
1061,finding,descoberta,""
1062,fine,"ótimo",""
1063,finger,dedo,""
1064,finish,acabamento,""
1065,fire,"incêndio",""
1066,firm,empresa,""
1067,first,primeiro,""
1068,fish,peixe,""
1069,fishing,pesca,""
1070,fit,apto,""
1071,fitness,fitness,""
1072,five,cinco,"/fɑev/"
1073,fix,consertar,"/ˈfɪks/"
1074,flag,bandeira,"/flæɡ/"
1075,flame,chama,"/fleɪm/"
